,Year,Month,SRSource,Count,Others_Count
33,2022,January,3-1-1 Call Center,2591,833
34,2022,January,AMPS,162,833
35,2022,January,Correspondence,96,833
36,2022,January,DPR,35,833
37,2022,January,DPR -Public Tree Map,42,833
38,2022,January,Department of Parks and Recreation - Public Web Site,756,833
39,2022,January,Park Inspection Program,13,833
25,2022,February,3-1-1 Call Center,3034,878
26,2022,February,AMPS,250,878
27,2022,February,Correspondence,118,878
28,2022,February,DPR,45,878
29,2022,February,DPR -Public Tree Map,57,878
30,2022,February,Department of Parks and Recreation - Public Web Site,774,878
31,2022,February,FDNY,2,878
32,2022,February,Park Inspection Program,31,878
56,2022,March,3-1-1 Call Center,4935,1813
57,2022,March,AMPS,324,1813
58,2022,March,Correspondence,98,1813
59,2022,March,DOT,194,1813
60,2022,March,DPR,42,1813
61,2022,March,DPR -Public Tree Map,55,1813
62,2022,March,Department of Parks and Recreation - Public Web Site,1522,1813
63,2022,March,Park Inspection Program,40,1813
0,2022,April,3-1-1 Call Center,5226,1950
1,2022,April,AMPS,380,1950
2,2022,April,Correspondence,69,1950
3,2022,April,DOT,70,1950
4,2022,April,DPR,27,1950
5,2022,April,DPR -Public Tree Map,110,1950
6,2022,April,Department of Parks and Recreation - Public Web Site,1742,1950
7,2022,April,FDNY,1,1950
8,2022,April,Park Inspection Program,10,1950
64,2022,May,3-1-1 Call Center,7594,2649
65,2022,May,AMPS,408,2649
66,2022,May,Correspondence,93,2649
67,2022,May,DOT,1,2649
68,2022,May,DPR,38,2649
69,2022,May,DPR -Public Tree Map,109,2649
70,2022,May,Department of Parks and Recreation - Public Web Site,2501,2649
71,2022,May,Park Inspection Program,33,2649
48,2022,June,3-1-1 Call Center,10369,3070
49,2022,June,AMPS,466,3070
50,2022,June,Correspondence,88,3070
51,2022,June,DOT,1,3070
52,2022,June,DPR,31,3070
53,2022,June,DPR -Public Tree Map,141,3070
54,2022,June,Department of Parks and Recreation - Public Web Site,2897,3070
55,2022,June,Park Inspection Program,55,3070
40,2022,July,3-1-1 Call Center,8924,2756
41,2022,July,AMPS,500,2756
42,2022,July,Correspondence,36,2756
43,2022,July,DOT,1,2756
44,2022,July,DPR,27,2756
45,2022,July,DPR -Public Tree Map,234,2756
46,2022,July,Department of Parks and Recreation - Public Web Site,2494,2756
47,2022,July,Park Inspection Program,25,2756
9,2022,August,3-1-1 Call Center,9338,2168
10,2022,August,AMPS,535,2168
11,2022,August,Correspondence,67,2168
12,2022,August,DOT,7,2168
13,2022,August,DPR,28,2168
14,2022,August,DPR -Public Tree Map,217,2168
15,2022,August,Department of Parks and Recreation - Public Web Site,1916,2168
16,2022,August,Park Inspection Program,60,2168
88,2022,September,3-1-1 Call Center,9080,2179
89,2022,September,AMPS,449,2179
90,2022,September,Correspondence,46,2179
91,2022,September,DOT,1,2179
92,2022,September,DPR,8,2179
93,2022,September,DPR -Public Tree Map,153,2179
94,2022,September,Department of Parks and Recreation - Public Web Site,2017,2179
95,2022,September,Park Inspection Program,48,2179
80,2022,October,3-1-1 Call Center,7020,3547
81,2022,October,AMPS,411,3547
82,2022,October,Correspondence,52,3547
83,2022,October,DOT,308,3547
84,2022,October,DPR,28,3547
85,2022,October,DPR -Public Tree Map,113,3547
86,2022,October,Department of Parks and Recreation - Public Web Site,3098,3547
87,2022,October,Park Inspection Program,42,3547
72,2022,November,3-1-1 Call Center,4194,1666
73,2022,November,AMPS,215,1666
74,2022,November,Correspondence,44,1666
75,2022,November,DPR,8,1666
76,2022,November,DPR -Public Tree Map,46,1666
77,2022,November,Department of Parks and Recreation - Public Web Site,1610,1666
78,2022,November,FDNY,2,1666
79,2022,November,Park Inspection Program,50,1666
17,2022,December,3-1-1 Call Center,3711,1945
18,2022,December,AMPS,205,1945
19,2022,December,Correspondence,74,1945
20,2022,December,DOT,265,1945
21,2022,December,DPR,12,1945
22,2022,December,DPR -Public Tree Map,68,1945
23,2022,December,Department of Parks and Recreation - Public Web Site,1600,1945
24,2022,December,Park Inspection Program,18,1945
